[10, '2019-ncov infection', 'feature = covid19']
[20, 'infection', 'feature = infection']
[46, 'laboratory', 'modifier = laboratory']
[102, '72 hours', 'time = 72 hours']
[111, 'after the', 'time = after']

[19, 'years; pregnant', 'unit = year | pregnant = yes']
[26, 'pregnant or lactating', 'pregnant = yes | breastfeeding = yes']
[35, 'or lactating', 'breastfeeding = yes']
[56, 'one of the following', 'connector']
[60, 'of the following', 'connector']
[99, 'enrollment', 'compliant = yes']
[110, 'respiratory', 'modifier = respiratory']
[130, 'necessitating mechanical ventilat', 'mechanical ventilation = yes']
[144, 'mechanical ventilation', 'feature = mechanical ventilation']
[185, 'total bilirubin', 'feature = bilirubin']
[226, 'coagulation', 'feature = coagulation']
[425, 'during the', 'feature = time']
[467, 'informed consent', 'compliant = yes']
[489, 'prior to', 'time = before']
[498, 'study participation', 'compliant = yes']
[504, 'participation', 'compliant = yes']
[533, 'unable to compl', 'value = no']
[540, 'to comply with', 'compliant = yes']

