[11, 'definition', 'value = yes']
[32, 'pneumonia', 'feature = pneumonia']
[42, 'comply with', 'compliant = yes']
[49, 'with any of the following', 'value = yes']
[54, 'any of the following', 'connector']
[58, 'of the following', 'value = yes']
[108, 'in resting state', 'modifier = resting state']
[111, 'resting state', 'modifier = resting state']
[136, 'pao2/fio2', 'feature = pao2/fio2']
[157, '2019-ncov', 'feature = covid19']
[167, 'nucleic acid', 'modifier = nucleic acid']
[189, 'positive', 'value = yes']
[228, 'the manifestation of', 'connector']
[232, 'manifestation', 'connector']
[246, 'of viral pneumonia', 'viral pneumonia = yes']
[249, 'viral pneumonia', 'feature = viral pneumonia']
[255, 'pneumonia', 'feature = pneumonia']

[16, 'survival time', 'feature = survival time']
[30, 'is less than', 'predicate = <']
[33, 'less than', 'predicate = <']
[66, 'malignant tumor', 'feature = cancer']
[87, 'life expectancy', 'feature = survival time']
[103, 'less than', 'predicate = <']
[121, 'immunosuppressive', 'feature = immunosuppressive']
[146, 'patients using', 'value = yes']
[183, 'chemotherap', 'feature = chemotherapy']
[206, 'underlying disease', 'value = yes']
[217, 'diseases', 'feature = disease']
[226, 'requiring', 'value = yes']
[261, 'treatment', 'connector']
[271, 'in the past months', 'time = past months']
[274, 'the past months', 'time = past months']
[327, 'in the past', 'time = before']
[346, 'pregnancy', 'feature = pregnant']
[356, 'patients with', 'value = yes']

