[12, 'characteristic', 'value = yes']
[27, 'of viral pneumonia', 'viral pneumonia = yes']
[30, 'viral pneumonia', 'feature = viral pneumonia']
[36, 'pneumonia', 'feature = pneumonia']
[47, '2019-ncov infection', 'feature = covid19']
[57, 'infection', 'feature = infection']
[67, 'positive', 'value = yes']
[76, 'nucleic acid', 'modifier = nucleic acid']
[97, 'confirmed by', 'value = yes']
[150, '2019-ncov infection', 'feature = covid19']
[160, 'infection', 'feature = infection']
[177, 'pneumonia diagnosis', 'pneumonia = yes']
[206, 'according to the', 'value = yes']
[223, 'novel coronavirus infection', 'covid19 = yes']
[229, 'coronavirus', 'feature = covid19']
[241, 'infection', 'feature = infection']
[251, 'pneumonia diagnosis and treatment', 'pneumonia = yes']
[261, 'diagnosis and', 'connector']
[275, 'treatment', 'connector']
[336, 'national health', 'connector']
[364, 'commission', 'connector']
[388, 'new coronavirus', 'covid19 = yes']
[392, 'coronavirus', 'feature = covid19']
[450, 'any of the following', 'connector']
[454, 'of the following', 'value = yes']
[574, 'oxygen saturation <=9', 'oxygen saturation <= 9']
[599, 'partial pressure', 'feature = pao2/fio2']
[607, 'pressure', 'feature = pressure']
[619, 'arterial oxygen', 'feature = arterial oxygen']
[701, '18 years old', 'age = 18 years old']
[704, 'years old', 'unit = years old']
[727, 'years old', 'unit = years old']
[759, 'the patient or', 'value = yes']
[763, 'patient or', 'value = yes']
[793, 'to participate in the', 'compliant = yes']
[796, 'participate in the', 'compliant = yes']
[808, 'in the study', 'connector']
[811, 'the study', 'connector']
[835, 'informed consent', 'compliant = yes']

[14, 'severe allergi', 'allergic = yes | modifier = severe']
[21, 'allergies', 'feature = allergic']
[34, 'allergies', 'feature = allergic']
[80, 'components; patients with se', 'connector']
[92, 'patients with serious', 'modifier = serious']
[101, 'with serious', 'value = serious']
[114, 'basic diseases', 'feature = diseases']
[120, 'diseases that affect', 'value = yes']
[129, 'that affect', 'value = yes']
[141, 'survival including', 'feature = survival time | value = yes']
[150, 'including', 'value = yes']
[160, 'blood diseases', 'feature = blood disease']
[166, 'diseases', 'feature = disease']
[191, 'bleeding', 'feature = bleeding']
[207, 'malnutrition', 'feature = malnutrition']
[224, 'patients with', 'value = yes']
[238, 'pulmonary', 'modifier = lung']
[248, 'obstructive', 'modifier = obstructive']
[260, 'pneumonia', 'feature = pneumonia']
[277, 'pulmonary', 'modifier = lung']
[287, 'interstitial', 'feature = interstitial']
[350, 'and other', 'value = yes']
[366, 'viral pneumonia', 'feature = viral pneumonia']
[372, 'pneumonia', 'feature = pneumonia']
[385, 'bacterial pneumonia', 'feature = bacterial pneumonia']
[395, 'pneumonia;', 'pneumonia = yes']
[406, 'continuous', 'value = yes']
[417, 'use of immunosuppressive', 'immunosuppressive = yes']
[424, 'immunosuppressive agents', 'feature = immunosuppressive']
[452, 'organ transplant', 'feature = organ transplant']
[470, 'in the past months;', 'time = past months']
[473, 'the past months', 'time = past months']
[553, '48 hours', 'value = 48 hours']
[562, 'uncontrolled', 'compliant = no']
[575, 'infections', 'feature = infection']
[587, 'patients with', 'value = yes']
[611, 'blood-borne diseases', 'feature = blood-borne diesease']
[623, 'diseases such as', 'value = yes']
[647, 'syphilis', 'feature = syphilis']
[657, 'patient with', 'value = yes']
[670, 'pregnancy', 'feature = pregnant']
[684, 'planning to', 'time = future']
[693, 'to become pregnant', 'pregnant = yes']
[696, 'become pregnant', 'pregnant = yes']
[703, 'pregnant or breastfeeding', 'pregnant = yes | breastfeeding = yes']
[730, 'patients with', 'value = yes']
[749, 'compliance', 'compliant = yes']
[764, 'unable to compl', 'value = no']
[774, 'complete the', 'value = yes']
[802, 'the investigator', 'connector']
[866, 'the subject', 'connector']
[881, 'other conditions th', 'connector']
[887, 'conditions that', 'value = yes']
[903, 'interfere with the', 'value = no']
[922, 'clinical trial', 'connector']
[945, 'judgment of the', 'value = yes']
[1019, 'impairment', 'feature = impairment']
[1056, 'situations that the', 'connector']
[1067, 'that the researcher', 'connector']
[1072, 'the researchers', 'connector']
[1076, 'researchers', 'connector']
[1098, 'not suitable to participate in this', 'compliant = no']
[1111, 'to participate in this clinical', 'compliant = yes']
[1114, 'participate', 'compliant = yes']
[1134, 'clinical study', 'connector']

