[6, '18 years', 'value = 18 years old']
[15, 'at time of', 'value = yes']
[26, 'signing informed consent', 'compliant = yes']
[34, 'informed consent form', 'compliant = yes']
[56, 'laboratory rt-pcr confirmed infection with', 'value = yes | modifier = rtpcr']
[74, 'confirmed', 'value = yes']
[84, 'infection', 'feature = infection']
[94, 'with covid-19', 'covid19 = yes']
[99, 'covid-19', 'covid19 = yes']
[156, 'temperature >=', 'feature = temperature| predicate = >=']
[251, 'medication', 'feature = drug']
[263, 'must agree', 'compliant = yes']
[268, 'agree not to', 'value = no']
[311, 'investigation', 'connector']
[327, 'agent prior to', 'time = before']
[333, 'prior to', 'time = before']
[342, 'completion of', 'value = yes']

[22, 'allergic to', 'feature = allergic']
[69, 'patient', 'connector']
[84, 'is less than', 'predicate = <']
[87, 'less than', 'predicate = <']
[104, 'respiratory distress', 'feature = respiratory disease']
[233, 'icu monitoring', 'feature = icu']
[237, 'monitoring treatment', 'connector']
[248, 'treatment', 'connector']
[269, 'patients who have', 'value = yes']
[282, 'have participated in', 'value = yes']
[287, 'participated in other clinical trials', 'compliant = no']
[309, 'clinical trial', 'connector']
[318, 'trials within', 'value = time']
[325, 'within month', 'time = months']
[345, 'patients with', 'value = yes']
[393, 'creatinine clearance', 'feature = creatine']
[472, 'creatinine', 'feature = creatine']
[483, 'concentration', 'feature = concentration']
[549, 'creatinine', 'feature = creatine']
[560, 'concentration', 'feature = concentration']
[583, 'during the', 'feature = time']
[590, 'the screening', 'connector']
[594, 'screening or', 'connector']
[630, 'screening patients', 'connector']
[640, 'patients', 'connector']
[668, 'any of the following', 'value = yes']
[672, 'of the following', 'connector']
[689, 'laboratory', 'modifier = laboratory']
[739, 'laboratory', 'modifier = laboratory']
[786, 'times the upper limit of normal', 'unit = times upper limit']
[792, 'the upper limit', 'value = upper limit']
[796, 'upper limit', 'value = upper limit']
[856, 'total bilirubin', 'feature = bilirubin']
[891, 'being pregnan', 'pregnant = yes']
[897, 'pregnant or breastfeeding', 'pregnant = yes | breastfeeding = yes']
[906, 'or breastfeeding or', 'breastfeeding = yes']
[909, 'breastfeeding or', 'breastfeeding = yes']
[933, 'positive pregnancy test', 'pregnant = yes']
[942, 'pregnancy', 'feature = pregnant']
[957, 'at the time', 'value = yes']
[960, 'the time of', 'feature = time']
[995, 'planning to', 'time = future']
[1004, 'to become pregnant', 'pregnant = yes']
[1007, 'become pregnant', 'pregnant = yes']
[1014, 'pregnant', 'feature = pregnant']
[1023, 'within months', 'time = months']
[1037, 'of study', 'connector']
[1046, 'treatment', 'connector']

