[11, 'confirmed covid', 'covid19 = yes']
[29, 'infection', 'feature = infection']
[52, 'positive', 'value = yes']
[61, 'rt-pcr from any', 'modifier = rtpcr']
[73, 'any specimen', 'value = yes']
[77, 'specimen', 'feature = specimen']
[105, 'with at least', 'predicate = >=']
[110, 'at least one of the following', 'connector']
[123, 'of the following', 'value = yes']
[248, 'respiratory rate >=', 'feature = respiratory rate | predicate = >=']
[392, 'continuous', 'time = continuous']
[403, 'continuous', 'time = continuous']
[421, 'pressure', 'feature = pressure']
[456, 'invasive ventilation', 'feature = invasive ventilation']
[486, 'positive', 'value = yes']
[510, 'pressure', 'feature = pressure']

[10, 'or positive pregnancy test', 'pregnant = yes']
[13, 'positive pregnancy test', 'pregnant = yes']
[22, 'pregnancy', 'feature = pregnant']
[48, 'examination', 'connector']
[78, 'therapy with', 'value = yes']
[96, 'flow nasal', 'modifier = flow nasal']
[115, 'clinical', 'connector']
[124, 'controindication', 'feature = contraindication']
[130, 'indication', 'connector']

