[24, 'from the', 'connector']
[84, 'pneumonia ca', 'feature = pneumonia']
[129, 'subjects must', 'value = yes']
[152, 'of the following', 'value = yes']
[179, 'criteria', 'connector']
[191, 'the time of', 'feature = time']
[203, 'randomization', 'compliant = yes']
[220, 'be eligible', 'compliant = yes']
[236, 'participati', 'compliant = yes']
[284, '18 years old', 'age = 18 years old']
[287, 'years old', 'unit = years old']
[297, 'diagnosed as', 'value = yes']
[324, 'infection', 'feature = infection']
[334, 'within days', 'predicate = within days']
[353, 'randomization', 'compliant = yes']
[379, 'the time of', 'feature = time']
[391, 'randomization', 'compliant = yes']
[405, 'supplemental oxygen', 'feature = supplement oxygen']
[450, 'subjects', 'connector']
[494, 'investigator', 'connector']
[507, 'subjects', 'connector']
[554, 'female subject', 'gender = women']
[581, 'pregnant', 'feature = pregnant']
[608, 'subjects must', 'value = yes']
[631, 'of the following', 'value = yes']
[658, 'criteria', 'connector']
[670, 'the time of', 'feature = time']
[682, 'randomization', 'compliant = yes']
[699, 'be eligible', 'compliant = yes']
[715, 'participati', 'compliant = yes']
[763, '18 years old', 'age = 18 years old']
[766, 'years old', 'unit = years old']
[786, 'subjects', 'connector']
[807, 'of the following', 'value = yes']
[824, 'conditions', 'feature = disease']
[839, 'subjects', 'connector']
[852, 'are eligible', 'compliant = yes']
[883, 'criteria of', 'connector']
[932, 'enrollment', 'connector']
[943, 'subjects', 'connector']
[952, 'confirmed', 'value = yes']
[985, 'infection', 'feature = infection']
[1013, 'criteria', 'connector']

[11, 'subjects', 'connector']
[29, 'any of the following', 'value = yes']
[33, 'of the following', 'connector']
[50, 'exclusion criteria', 'connector']
[92, 'in this study', 'connector']
[95, 'this study', 'connector']
[106, 'subjects', 'connector']
[115, 'requiring', 'value = yes']
[180, 'life expectancy', 'feature = survival time']
[196, 'less than', 'predicate = <']
[214, 'subjects', 'connector']
[326, 'subjects', 'connector']
[370, 'systolic blood pressure', 'feature = systolic bp']
[379, 'blood pressure', 'feature = blood pressure']
[418, 'subjects', 'connector']
[447, 'subjects', 'connector']
[515, '48 hours', 'value = 48 hours']
[527, 'alanine aminotransferase', 'feature = alanine aminotransferase']
[535, 'aminotransferase', 'feature = aminotransferase']
[556, 'aspartate aminotransferase', 'feature = aspartate aminotransferase']
[566, 'aminotransferase', 'feature = aminotransferase']
[632, 'total bilirubin', 'feature = bilirubin']
[663, 'female subjects', 'gender = women']
[670, 'subjects', 'connector']
[684, 'positive pregnancy test', 'pregnant = yes']
[693, 'pregnancy test result', 'feature = pregnant']
[715, 'breastfeeding or', 'breastfeeding = yes']
[732, 'planning to', 'time = future']
[803, 'of study', 'connector']
[806, 'study drug', 'feature = study drug']
[817, 'subjects', 'connector']
[833, 'any other', 'value = yes']
[843, 'investigational drug', 'feature = study drug']
[890, 'respiratory', 'modifier = respiratory']
[902, 'infection', 'feature = infection']
[951, 'recreational drug', 'feature = recreational drug']
[981, 'that in the opinion of the', 'connector']
[1018, 'investigator would', 'connector']
[1066, 'compliance', 'compliant = yes']

