[9, 'patients who', 'value = yes']
[31, 'requirements', 'compliant = yes']
[51, 'new coronavirus infection', 'covid19 = yes']
[55, 'coronavirus', 'feature = covid19']
[67, 'infection', 'feature = infection']
[87, 'acute respiratory', 'modifier = acute respiratory']
[93, 'respiratory infection', 'feature = respiratory infection']
[105, 'infection', 'feature = infection']
[149, 'positive', 'value = yes']
[169, '18 years', 'value = 18 years old']
[178, 'male or female', 'gender = both']
[197, 'women of childbearing potential', 'compliant = yes']
[203, 'of childbearing potential', 'childbearing = potential']
[229, 'negative', 'value = no']
[238, 'pregnancy test', 'feature = pregnant']
[275, 'contraceptive method', 'feature = birth control']
[307, 'the study', 'connector']
[317, 'willing to', 'value = yes']
[339, 'medication', 'feature = drug']
[350, 'willing to co', 'compliant = yes']
[358, 'to comply with', 'compliant = yes']
[361, 'comply with', 'compliant = yes']
[377, 'study procedures', 'connector']
[383, 'procedures', 'feature = procedure']
[394, 'including', 'value = yes']
[454, 'written informed consent', 'compliant = yes']
[462, 'informed consent', 'compliant = yes']

[17, 'condition', 'value = yes']
[35, 'one of the following', 'connector']
[39, 'of the following', 'connector']
[56, 'respiratory distress', 'feature = respiratory disease']
[82, 'respiratory', 'modifier = respiratory']
[206, 'concentration', 'feature = concentration']
[245, 'patients', 'connector']
[262, 'one of the following', 'connector']
[266, 'of the following', 'connector']
[294, 'respiratory failure and', 'feature = respiratory failure']
[334, 'mechanical ventilation', 'feature = mechanical ventilation']
[388, 'with other organ', 'organ failure = yes']
[458, 'participants', 'compliant = yes']
[477, 'treatment with', 'value = yes']
[492, 'medications', 'feature = drug']
[584, 'significantly', 'value = yes']
[622, 'child pugh', 'feature = child-pugh score']
[650, 'treatment or', 'value = yes']
[668, '30 ml/min/1.73', 'value = 30 ml/min/1.73']
[671, 'ml/min/1.73 m2', 'unit = ml/min/1.73 m2']
[687, 'participants', 'compliant = yes']
[745, 'retinal diseases', 'feature = retinal disease']
[753, 'diseases', 'feature = disease']
[790, 'glucose-6-phosphate dehydrogenase', 'feature = g6pd']
[832, 'participants', 'compliant = yes']
[857, 'neurological', 'modifier = neurological']
[874, 'mental illness', 'feature = mental diseases']
[881, 'illness; pregnant', 'feature = disease | pregnant = yes']
[890, 'pregnant or lactating women', 'gender = women | pregnant = yes | breastfeeding = yes']
[899, 'or lactating', 'breastfeeding = yes']
[902, 'lactating women', 'gender = women | breastfeeding = yes']
[912, 'women', 'gender= women']
[922, 'inability to', 'value = no']
[998, 'known hypersensitivity to', 'feature = allergic']
[1024, 'the study drug', 'feature = study drug']
[1028, 'study drug', 'feature = study drug']
[1079, 'the study drug', 'feature = study drug']
[1083, 'study drug', 'feature = study drug']
[1095, 'during the', 'feature = time']
[1106, 'last 30 days', 'time = last 30 days']
[1122, 'concomitant', 'feature = concomitant treatment']
[1134, 'administration of', 'value = yes']
[1345, 'patients', 'connector']
[1398, 'treatment', 'connector']
[1415, 'contraindications', 'feature = contraindication']
[1421, 'indication', 'connector']
[1467, 'or hydroxychloroquine', 'feature = hydroxychloroquine']
[1470, 'hydroxychloroquine', 'feature = hydroxychloroquine']
[1489, 'inclusion criteria', 'connector']
[1520, 'patients who', 'value = yes']
[1542, 'definition', 'connector']
[1564, 'according to', 'value = yes']
[1660, 'women', 'gender= women']
[1669, 'childbearing', 'feature = childbearing']
[1701, 'pregnancy', 'feature = pregnant']
[1738, 'contracepti', 'feature = birth control']
[1770, 'the study', 'connector']
[1796, 'study medication', 'feature = study drug']
[1802, 'medication', 'feature = drug']
[1822, 'to comply with', 'compliant = yes']
[1880, 'informed consent', 'compliant = yes']
[1911, 'exclusion criteria', 'connector']
[1953, 'history of', 'value = yes | time = before']
[1972, 'arrhythmia', 'feature = arrhythmias']
[2049, 'significantly', 'value = yes']
[2087, 'child pugh', 'feature = child-pugh score']
[2115, 'treatment or', 'value = yes']
[2133, '30 ml/min/1.73', 'value = 30 ml/min/1.73']
[2136, 'ml/min/1.73 m2', 'unit = ml/min/1.73 m2']
[2152, 'participants', 'compliant = yes']
[2210, 'retinal diseases', 'feature = retinal disease']
[2218, 'diseases', 'feature = disease']
[2255, 'glucose-6-phosphate dehydrogenase', 'feature = g6pd']
[2334, 'the study drug', 'feature = study drug']
[2338, 'study drug', 'feature = study drug']
[2350, 'during the', 'feature = time']
[2361, 'last 30 days', 'time = last 30 days']
[2375, 'pregnant or lactating women', 'gender = women | pregnant = yes | breastfeeding = yes']
[2384, 'or lactating', 'breastfeeding = yes']
[2387, 'lactating women', 'gender = women | breastfeeding = yes']
[2397, 'women', 'gender= women']
[2408, 'contraindications', 'feature = contraindication']
[2414, 'indication', 'connector']
[2451, 'hydroxychloroquine', 'feature = hydroxychloroquine']

