[11, 'diagnosed with co', 'value = yes']
[85, 'informed consent', 'compliant = yes']
[102, 'subjects', 'connector']
[157, 'clinical', 'connector']
[174, 'female subject', 'gender = women']
[181, 'subjects', 'connector']
[218, 'pregnant', 'feature = pregnant']
[240, 'take effective', 'value = yes']
[245, 'effective contracepti', 'birth control = yes']
[255, 'contraception', 'feature = birth control']
[269, 'within days', 'predicate = within days']
[298, 'medication', 'feature = drug']
[337, 'pregnant', 'feature = pregnant']
[369, 'patients', 'connector']
[387, 'effective contracepti', 'birth control = yes']
[397, 'contraception', 'feature = birth control']
[411, 'within days', 'predicate = within days']
[436, 'medication', 'feature = drug']

[72, 'allergic to', 'feature = allergic']
[111, 'pregnant and lactating women', 'gender = women | pregnant = yes | breastfeeding = yes']
[124, 'lactating women', 'gender = women | breastfeeding = yes']
[134, 'women', 'gender= women']
[140, 'subjects', 'connector']
[149, 'received', 'value = yes']
[251, 'hydroxychloroquine', 'feature = hydroxychloroquine']
[338, 'respiratory failure and', 'feature = respiratory failure']
[362, 'requiring mechanical ventilat', 'mechanical ventilation = yes']
[372, 'mechanical ventilation', 'feature = mechanical ventilation']
[419, 'organ failure', 'feature = organ failure']
[442, 'icu monitoring', 'feature = icu']
[457, 'and treatment', 'connector']
[461, 'treatment', 'connector']
[481, 'clinically', 'connector']
[582, 'treatment', 'connector']
[633, 'alanine aminotransferase', 'feature = alanine aminotransferase']
[641, 'aminotransferase', 'feature = aminotransferase']
[658, 'aspartate aminotransferase', 'feature = aspartate aminotransferase']
[668, 'aminotransferase', 'feature = aminotransferase']
[695, 'upper limit', 'value = upper limit']
[752, 'less than', 'predicate = <']
[779, 'diagnosis of', 'value = yes']
[812, 'malignant tumor', 'feature = cancer']
[829, 'and other', 'value = yes']
[839, 'related diseases', 'value = yes']
[847, 'diseases', 'feature = disease']
[898, 'immunomodulatory drugs', 'feature = immunosuppressive']
[924, 'allergic reaction', 'feature = allergic']
[979, 'patients with act', 'value = yes']
[1010, 'tuberculosis', 'feature = tuberculosis']
[1036, 'bacterial', 'feature = bacterial']
[1050, 'fungal infections', 'feature = fungal infection']
[1057, 'infections', 'feature = infection']
[1071, 'organ transplant', 'feature = organ transplant']
[1088, 'patients', 'connector']
[1100, 'patients with', 'value = yes']
[1114, 'mental disorders', 'feature = mental diseases']

