[11, 'confirmed sars-cov-2 infection', 'covid19 = yes']
[21, 'sars-cov-2 infection as', 'covid19 = yes']
[32, 'infection as determined by', 'infection = yes']
[56, 'by polymerase chain reaction pcr', 'modifier = rtpcr']
[101, 'any specimen', 'value = yes']
[105, 'specimen', 'feature = specimen']
[170, 'prior to', 'time = before']
[179, 'randomization', 'compliant = yes']
[236, 'clinical', 'connector']
[255, 'hospitalized with', 'hospitalized = yes ']
[273, 'illness of any duration', 'illness = yes']
[302, 'evidence of', 'value = yes']
[311, 'of pneumonia', 'pneumonia = yes']
[314, 'pneumonia', 'feature = pneumonia']
[424, 'ability to', 'value = yes']
[443, 'informed consent', 'compliant = yes']
[476, 'patient or', 'value = yes']
[495, 'acceptable', 'modifier = acceptable']
[506, 'representative', 'compliant = yes']
[521, 'willingness', 'compliant = yes']
[537, 'ability to', 'value = yes']
[545, 'to comply with', 'compliant = yes']
[548, 'comply with', 'compliant = yes']
[574, 'procedures', 'feature = procedure']
[585, 'assessment', 'feature = assessment']

[18, 'the investigator', 'connector']
[68, 'than 48 hours', 'value = 48 hours']
[73, '48 hours', 'value = 48 hours']
[87, 'screening', 'connector']
[97, 'presence of', 'value = yes']
[109, 'any of the following', 'value = yes']
[113, 'of the following', 'connector']
[139, 'laboratory', 'modifier = laboratory']
[157, 'at screening', 'value = yes']
[160, 'screening', 'connector']
[200, 'less than', 'predicate = <']
[219, 'aspartate aminotransferase', 'feature = aspartate aminotransferase']
[229, 'aminotransferase', 'feature = aminotransferase']
[253, 'alanine aminotransferase', 'feature = alanine aminotransferase']
[261, 'aminotransferase', 'feature = aminotransferase']
[295, 'upper limit', 'value = upper limit']
[347, 'treatment with', 'value = yes']
[414, 'inhibitors', 'feature = inhibitor']
[430, 'in the past', 'time = before']
[437, 'past 30 days', 'time = past 30 days']
[450, 'or plans to receive', 'time = future']
[462, 'receive during the', 'value = yes']
[470, 'during the study period', 'value = yes']
[477, 'the study', 'connector']
[494, 'current treatment', 'value = yes']
[502, 'treatment with', 'value = yes']
[591, 'tuberculosis', 'feature = tuberculosis']
[607, 'history of', 'value = yes | time = before']
[642, 'suspected or', 'value = yes']
[666, 'pulmonary', 'modifier = lung']
[679, 'suspected or', 'value = yes']
[707, 'bacterial', 'feature = bacterial']
[720, 'fungal infections', 'feature = fungal infection']
[727, 'infections', 'feature = infection']
[738, 'patients who have', 'value = yes']
[756, 'received', 'value = yes']
[765, 'immunosuppressive', 'feature = immunosuppressive']
[792, 'therapy within', 'value = yes']
[800, 'within the past months', 'time = past months']
[804, 'in the past months', 'time = past months']
[807, 'the past months', 'time = past months']
[823, 'including', 'value = yes']
[845, 'immunoglobulin', 'feature = antibody']
[860, 'or plans to receive', 'time = future']
[872, 'receive during the', 'value = yes']
[880, 'during the study period', 'value = yes']
[887, 'the study', 'connector']
[904, 'participation in', 'compliant = yes']
[934, 'clinical', 'connector']
[969, 'an investigational', 'feature = study drug']
[972, 'investigation', 'connector']
[1002, 'therapy within', 'value = yes']
[1010, 'within months', 'time = months']
[1028, 'less than', 'predicate = <']
[1055, 'prior to the', 'time = before']
[1064, 'the screening', 'connector']
[1068, 'screening', 'connector']
[1106, 'hydroxychloroquine or', 'feature = hydroxychloroquine']
[1134, 'treatment', 'connector']
[1156, 'for covid-19', 'feature = covid19']
[1169, 'treatment', 'connector']
[1274, 'examination', 'connector']
[1302, 'history of', 'value = yes | time = before']
[1325, 'concomitant', 'feature = concomitant treatment']
[1337, 'medications', 'feature = drug']
[1373, 'that in the opinion of the', 'connector']
[1385, 'opinion of the study', 'compliant = no']
[1396, 'the study in', 'connector']
[1449, 'the study or', 'connector']
[1489, 'the patient', 'connector']
[1493, 'patient', 'connector']
[1510, 'participation in the', 'compliant = yes']
[1524, 'in the study', 'connector']
[1527, 'the study', 'connector']
[1658, 'exclusion criteria', 'connector']

