[3, 'years old', 'unit = years old']
[30, 'healthcare', 'connector']
[62, 'patients with co', 'value = yes']
[71, 'with covid-19', 'covid19 = yes']
[76, 'covid-19', 'covid19 = yes']
[85, 'respiratory disease', 'feature = respiratory disease']
[170, 'administrati', 'connector']
[189, 'respiratory', 'modifier = respiratory']
[231, 'randomization', 'compliant = yes']

[26, 'hydroxychloroquine', 'feature = hydroxychloroquine']
[71, 'current treatment', 'value = yes']
[79, 'treatment', 'connector']
[104, 'or hydroxychloroquine', 'feature = hydroxychloroquine']
[107, 'hydroxychloroquine', 'feature = hydroxychloroquine']
[126, 'women', 'gender= women']
[196, 'pregnancy', 'feature = pregnant']
[211, 'women', 'gender= women']
[222, 'positive pregnancy test', 'pregnant = yes']
[231, 'pregnancy', 'feature = pregnant']
[260, 'women', 'gender= women']
[274, 'hepatic disease', 'feature = liver disease']
[320, 'renal disease', 'feature = kidney disease']

