[16, 'patients with', 'value = yes']
[47, 'covid-19 infection', 'feature = covid19']
[56, 'infection', 'feature = infection']
[71, '18 years', 'value = 18 years old']
[80, 'clinical diagnosis of', 'value = yes']
[89, 'diagnosis of', 'value = yes']
[110, 'infection patients', 'value = infection']
[120, 'patients', 'connector']
[144, 'fever cough', 'feature = fever | feature = cough']
[185, 'radiological', 'modifier = immunobiological']
[207, 'of pneumonia', 'pneumonia = yes']
[210, 'pneumonia', 'feature = pneumonia']
[224, 'patients', 'connector']
[243, 'willing and able to provide written informed consent', 'compliant = yes']
[263, 'provide written informed consent', 'compliant = yes']
[271, 'written informed consent prior to', 'compliant = yes']
[279, 'informed consent', 'compliant = yes']
[288, 'consent prior to', 'compliant = yes']
[296, 'prior to', 'time = before']
[316, 'study procedures', 'connector']
[322, 'procedures', 'feature = procedure']

[4, 'less than', 'predicate = <']
[17, 'history of', 'value = yes | time = before']
[45, 'patient with', 'value = yes']
[65, 'tuberculosis', 'feature = tuberculosis']
[78, 'infection', 'feature = infection']
[105, 'pregnancy', 'feature = pregnant']

