[10, 'close contact', 'value = yes']
[16, 'contact with', 'connector']
[29, 'confirmed covid-19', 'covid19 = yes']
[39, 'covid-19', 'covid19 = yes']
[53, 'during the', 'feature = time']
[85, 'including', 'value = yes']
[124, 'within the', 'predicate = within']
[159, 'close contact', 'value = yes']
[176, 'defined as', 'value = yes']
[187, 'any of the following', 'connector']
[191, 'of the following', 'value = yes']
[361, 'contact with', 'connector']
[419, 'close contact', 'value = yes']
[425, 'contact with', 'connector']
[519, 'contact with', 'connector']
[532, 'infectious', 'feature = infection']
[555, 'including', 'value = yes']
[581, 'respiratory', 'modifier = respiratory']
[639, 'the study', 'connector']
[661, '24 hours', 'time = 24 hours']
[684, 'notification of the', 'value = yes']
[719, 'covid-19', 'covid19 = yes']
[852, 'randomization', 'compliant = yes']
[1044, 'patients', 'connector']
[1103, 'ability to', 'value = yes']

[23, 'allergy to', 'feature = allergic']
[57, 'current use of', 'value = yes']
[86, 'treatment or', 'value = yes']
[117, 'infection', 'feature = infection']
[176, 'any other', 'value = yes']
[228, 'prior to the', 'time = before']
[380, 'presence of', 'value = yes']
[392, 'clinically', 'connector']
[530, 'respiratory', 'modifier = respiratory']
[557, 'positive', 'value = yes']
[566, 'for covid-19', 'feature = covid19']
[590, 'participants', 'compliant = yes']
[663, 'study drug', 'feature = study drug']
[827, 'concomitant', 'feature = concomitant treatment']
[839, 'medications', 'feature = drug']
[942, 'including', 'value = yes']
[1104, 'in patients', 'connector']
[1107, 'patients with', 'value = yes']
[1142, 'impairment', 'feature = impairment']

