[17, 'the patient', 'connector']
[21, 'patient is', 'value = yes']
[59, 'criteria', 'connector']
[75, 'definition', 'value = yes']
[143, 'treatment', 'connector']
[153, 'within days', 'predicate = within days']
[178, 'to hospital', 'connector']
[190, 'suspected', 'value = suspected']
[203, 'verified covid-19', 'covid19 = yes']
[212, 'covid-19 infection', 'feature = covid19']
[221, 'infection', 'feature = infection']
[283, 'covid-19', 'covid19 = yes']
[324, 'hypertension', 'feature = hypertension']
[369, 'documented', 'value = yes']
[380, 'informed consent', 'compliant = yes']

[27, 'infections', 'feature = infection']
[47, 'sars-cov-2', 'feature = covid19']
[89, 'infections', 'feature = infection']
[116, 'pregnancy', 'feature = pregnant']
[126, 'or positive pregnancy test', 'pregnant = yes']
[129, 'positive pregnancy test', 'pregnant = yes']
[138, 'pregnancy', 'feature = pregnant']
[156, 'women', 'gender= women']
[162, 'patients with', 'value = yes']
[252, 'contraindication', 'feature = contraindication']
[258, 'indication', 'connector']
[277, 'according to', 'value = yes']

