[16, 'of covid-19', 'covid19 = yes']
[19, 'covid-19', 'covid19 = yes']
[52, 'laboratory', 'modifier = laboratory']
[78, 'clinical', 'connector']
[114, 'the time of', 'feature = time']

[24, 'patients', 'connector']
[69, 'medication', 'feature = drug']
[98, 'creatinine clearance', 'feature = creatine']
[143, 'transaminase', 'feature = transminase']
[171, 'transaminase', 'feature = transminase']
[188, 'times upper limit', 'unit = times upper limit']
[194, 'upper limit', 'value = upper limit']
[267, 'condition', 'value = yes']
[282, 'hypertension', 'feature = hypertension']
[295, 'cardiovascular disease', 'feature = cardiovascular disease']
[301, 'vascular disease', 'feature = vascular disease']
[373, 'malignancy', 'feature = cancer']
[396, 'pregnancy', 'feature = pregnant']
[410, 'less than', 'predicate = <']

