[20, 'confirmed case', 'value = yes']
[35, 'of sars-cov-2 in', 'covid19 = yes']
[49, 'infection', 'feature = infection']
[86, 'confirmed case', 'value = yes']
[101, 'of sars-cov-2 in', 'covid19 = yes']
[115, 'infection', 'feature = infection']
[171, 'covid-19', 'covid19 = yes']
[257, 'subjects', 'connector']
[304, 'asymptomatic', 'feature = asymptomatic']

[32, 'or hydroxychloroquine', 'feature = hydroxychloroquine']
[35, 'hydroxychloroquine', 'feature = hydroxychloroquine']
[54, 'those who are', 'connector']
[87, 'hydroxychloroquine', 'feature = hydroxychloroquine']
[106, 'administration', 'connector']
[121, 'according to', 'value = yes']
[149, 'requirement', 'value = yes']
[170, 'pregnant women', 'gender = women | pregnant = yes']
[179, 'women', 'gender= women']
[258, 'immunodeficiency', 'feature = hiv']
[264, 'deficiency', 'feature = deficiency']
[301, 'patients with', 'value = yes']
[315, 'autoimmune disease', 'feature = autoimmune dieseae']
[395, 'patients with', 'value = yes']
[431, 'inflammatory', 'feature = inflammatory']
[470, 'inflammatory', 'feature = inflammatory']
[493, 'diseases', 'feature = disease']
[535, 'arthritis', 'feature = arthritis']
[555, 'arthritis', 'feature = arthritis']
[565, 'arrhythmia', 'feature = arrhythmias']
[595, 'child pugh', 'feature = child-pugh score']
[669, 'positive', 'value = yes']
[694, 'screening', 'connector']

