[4, '>= 18 years', 'age >= 18 years old']
[7, '18 years', 'value = 18 years old']
[16, 'negative', 'value = no']
[33, 'negative', 'value = no']
[58, 'healthcare', 'connector']
[114, 'participants', 'compliant = yes']
[127, 'negative', 'value = no']
[140, 'pregnancy test', 'feature = pregnant']
[155, 'willing to', 'value = yes']
[163, 'to participate in the', 'compliant = yes']
[166, 'participate in the', 'compliant = yes']
[178, 'in the study', 'connector']
[181, 'the study', 'connector']
[199, 'sign the informed consent form', 'compliant = yes']
[204, 'the informed consent form', 'compliant = yes']
[208, 'informed consent form', 'compliant = yes']

[14, 'pregnancy or breastfeeding', 'pregnant = yes | breastfeeding = yes']
[77, 'treatment or', 'value = yes']
[94, 'positive', 'value = yes']
[116, 'inflammatory', 'feature = inflammatory']
[129, 'treatment', 'connector']
[145, 'corticosteroids', 'feature = corticosteroids']
[181, 'or hydroxychloroquine', 'feature = hydroxychloroquine']
[184, 'hydroxychloroquine', 'feature = hydroxychloroquine']
[203, 'treatment', 'connector']
[231, 'sars-cov-2', 'feature = covid19']
[242, 'infection', 'feature = infection']
[252, 'positive', 'value = yes']
[272, 'positive', 'value = yes']
[305, 'infection', 'feature = infection']
[351, 'informed consent', 'compliant = yes']
[386, 'participation', 'compliant = yes']
[408, 'less than', 'predicate = <']
[468, 'contraindication', 'feature = contraindication']
[474, 'indication', 'connector']
[486, 'or hydroxychloroquine', 'feature = hydroxychloroquine']
[489, 'hydroxychloroquine', 'feature = hydroxychloroquine']
[508, 'treatment', 'connector']
[518, 'hydroxychloroquine', 'feature = hydroxychloroquine']
[681, 'ventricular', 'feature = ventricular']
[711, 'arrhythmias', 'feature = arrhythmias']
[751, 'medical history', 'time = before']
[857, 'myocardial infarction', 'feature = heart attack']
[868, 'infarction', 'feature = heart attack']
[959, 'history of sever', 'time = before | modifer = severe']
[991, 'ongoing treatment', 'value = yes']
[999, 'treatment with', 'value = yes']

