[29, 'criteria', 'connector']
[38, 'aged between 18 and', 'age >= 18 years old | feature = age']
[67, 'male or female', 'gender = both']
[95, 'participants', 'compliant = yes']
[113, 'diagnosis of', 'value = yes']
[189, 'according to the', 'value = yes']
[226, 'pneumonia diagnosis and treatment', 'pneumonia = yes']
[236, 'diagnosis and', 'connector']
[250, 'treatment', 'connector']
[250, 'treatment sche', 'connector']
[271, 'novel coronavirus infection', 'covid19 = yes']
[277, 'coronavirus infection trial version', 'connector']
[289, 'infection', 'feature = infection']
[299, 'trial version', 'connector']
[332, 'respiratory', 'modifier = respiratory']
[355, 'pressure', 'feature = pressure']
[403, 'assessment', 'feature = assessment']
[425, 'ability to', 'value = yes']
[433, 'to understand and', 'compliant = yes']
[455, 'willingness to', 'value = yes']
[470, 'sign written informed consent', 'compliant = yes']
[475, 'written informed consent', 'compliant = yes']
[483, 'informed consent', 'compliant = yes']

[7, 'subjects who are', 'connector']
[16, 'who are pregnant', 'pregnant = yes']
[20, 'are pregnant or', 'pregnant = yes']
[24, 'pregnant or breastfeeding', 'pregnant = yes | breastfeeding = yes']
[36, 'breastfeeding patients', 'breastfeeding = yes']
[50, 'patients with', 'value = yes']
[70, 'allergic reaction', 'feature = allergic']
[118, 'patients', 'connector']
[151, 'patients with', 'value = yes']
[192, 'last 30 days', 'time = last 30 days']
[205, 'patients with act', 'value = yes']
[226, 'treatment for', 'value = yes']
[263, 'chemotherap', 'feature = chemotherapy']
[290, 'patients with', 'value = yes']
[407, 'within month', 'time = months']
[434, 'medication', 'feature = drug']
[538, 'patients who have', 'value = yes']
[569, 'evidence of', 'value = yes']
[583, 'infections', 'feature = infection']
[612, 'kidney disease', 'feature =  kidney disease']
[673, 'child pugh', 'feature = child-pugh score']
[729, 'diseases', 'feature = disease']
[741, 'autoimmune disease', 'feature = autoimmune dieseae']
[752, 'diseases', 'feature = disease']
[764, 'immunoglobulin', 'feature = antibody']
[794, 'patients', 'connector']
[808, 'any condition that', 'value = yes']
[812, 'condition that in the', 'value = yes']
[834, 'judgement of the', 'value = yes']
[847, 'the investigator', 'connector']
[851, 'investigators', 'connector']
[876, 'the subject', 'connector']
[888, 'inappropriate', 'value = no']
[917, 'this study', 'connector']

