[36, 'nucleic acid', 'modifier = nucleic acid']
[54, 'of respiratory', 'modifier = respiratory']
[57, 'respiratory', 'modifier = respiratory']
[69, 'specimen', 'feature = specimen']
[97, 'nasopharyngeal', 'modifier = nasopharyngeal']
[127, 'negative', 'value = no']
[168, 'treatment', 'connector']
[213, '24 hours', 'time = 24 hours']
[228, 'nucleic acid', 'modifier = nucleic acid']
[249, 'specimen', 'feature = specimen']
[309, 'specimen', 'feature = specimen']
[323, 'positive for', 'value = yes']
[332, 'for covid-19', 'covid19 = yes']
[336, 'covid-19', 'covid19 = yes']
[370, 'voluntarily', 'compliant = yes']
[382, 'participate in', 'compliant = yes']
[410, 'sign informed consent', 'compliant = yes']
[415, 'informed consent', 'compliant = yes']

[6, 'allergic to', 'feature = allergic']
[29, 'pregnant or lactating women', 'gender = women | pregnant = yes | breastfeeding = yes']
[38, 'or lactating', 'breastfeeding = yes']
[41, 'lactating women', 'gender = women | breastfeeding = yes']
[51, 'women', 'gender= women']
[84, 'heart disease', 'feature = heart disease']
[90, 'diseases', 'feature = disease']
[100, 'history of', 'value = yes | time = before']
[111, 'mental disorders', 'feature = mental diseases']
[159, 'researchers', 'connector']
[183, 'inappropriate', 'value = no']
[197, 'to participate', 'compliant = yes']
[200, 'participate', 'compliant = yes']
[225, 'participating in other', 'compliant = no']
[248, 'clinical', 'connector']

