[18, 'diagnosis of', 'value = yes']
[28, 'of covid-19', 'covid19 = yes']
[31, 'covid-19', 'covid19 = yes']
[44, 'nasopharyngeal', 'modifier = nasopharyngeal']
[116, 'symptoms and', 'feature = symptoms']
[129, 'enrollment', 'connector']
[143, '72 hours', 'time = 72 hours']

[16, 'requiring', 'value = yes']
[28, 'patient', 'connector']
[36, 'treatment', 'connector']
[46, 'women who are', 'gender= women']
[52, 'who are pregnant', 'pregnant = yes']
[56, 'are pregnant or', 'pregnant = yes']
[60, 'pregnant or breastfeeding', 'pregnant = yes | breastfeeding = yes']
[86, 'concurrent', 'value = yes']
[119, 'known hypersensitivity to', 'feature = allergic']
[145, 'hydroxychloroquine or', 'feature = hydroxychloroquine']
[200, 'hydroxychloroquine', 'feature = hydroxychloroquine']
[223, 'within months before', 'time = past months']
[237, 'before enrollment', 'time = before']
[244, 'enrollment', 'compliant = yes']
[255, 'history of sever', 'time = before | modifer = severe']
[351, 'history of', 'value = yes | time = before']
[374, 'history of', 'value = yes | time = before']
[395, 'concurrent', 'value = yes']
[398, 'current use of', 'value = yes']
[445, 'history of', 'value = yes | time = before']
[477, 'history of sever', 'time = before | modifer = severe']
[488, 'severe renal', 'modifier = severe | modifier = kidney']
[495, 'renal disease', 'feature = kidney disease']
[509, 'treatment with', 'value = yes']
[565, 'impairment', 'feature = impairment']
[656, 'patient', 'connector']
[676, 'participation in', 'compliant = yes']
[693, 'clinical trial', 'connector']

