[10, 'informed consent', 'compliant = yes']
[31, '>= 18 years', 'age >= 18 years old']
[34, '18 years old', 'age = 18 years old']
[37, 'years old', 'unit = years old']
[90, 'participati', 'compliant = yes']
[135, 'healthcare', 'connector']
[147, 'healthcare', 'connector']
[274, 'for covid-19', 'covid19 = yes']
[278, 'covid-19 infection', 'feature = covid19']
[287, 'infection', 'feature = infection']
[317, 'of the following', 'value = yes']
[356, 'intensive', 'modifier = intensive']
[396, 'department', 'connector']
[438, 'covid-19', 'covid19 = yes']
[472, 'respiratory', 'modifier = respiratory']

[6, 'diagnosis of', 'value = yes']
[19, 'covid-19 in', 'feature = covid19']
[28, 'infection', 'feature = infection']
[38, 'participation in an', 'value = yes']
[52, 'in another', 'value = yes']
[90, 'within 30 days', 'time = 30 days']
[116, 'respiratory', 'modifier = respiratory']
[218, 'known allerg', 'feature = allergic']
[224, 'allergy to', 'feature = allergic']
[254, 'congenital', 'feature = congenital']
[500, 'renal disease', 'feature = kidney disease']
[514, 'pre-existing', 'time = before']
[562, 'of the following', 'connector']
[583, 'treatment or', 'value = yes']
[610, 'covid-19 in', 'feature = covid19']
[619, 'infection', 'feature = infection']
[629, 'hydroxychloroquine', 'feature = hydroxychloroquine']
[648, 'study drug', 'feature = study drug']
[674, 'azithromycin', 'feature = azithromycin']

