[12, 'participati', 'compliant = yes']
[60, 'of covid-19', 'covid19 = yes']
[63, 'covid-19 infection', 'feature = covid19']
[72, 'infection', 'feature = infection']
[102, 'of covid-19', 'covid19 = yes']
[105, 'covid-19', 'covid19 = yes']
[156, 'authorized', 'value = yes']
[167, 'representative', 'compliant = yes']
[186, 'provide written informed consent', 'compliant = yes']
[194, 'written informed consent', 'compliant = yes']
[202, 'informed consent', 'compliant = yes']
[261, 'to comply with', 'compliant = yes']
[264, 'comply with', 'compliant = yes']
[284, 'study procedures', 'connector']
[290, 'procedures', 'feature = procedure']
[301, 'prior to', 'time = before']
[310, 'enrollment', 'connector']
[321, 'male or female', 'gender = both']
[368, 'the time of', 'feature = time']
[380, 'enrollment', 'connector']
[395, 'laboratory-confirmed sars-cov-2', 'covid20 = yes | modifier = laboratory']
[406, 'confirmed sars-cov-2 infection', 'covid19 = yes']
[427, 'infection', 'feature = infection']
[461, 'nucleic acid', 'modifier = nucleic acid']
[529, 'respiratory', 'modifier = respiratory']
[541, 'specimen', 'feature = specimen']
[578, 'randomization', 'compliant = yes']
[592, 'illness of any duration', 'illness = yes']
[643, 'evidence of', 'value = yes']
[655, 'pulmonary', 'feature = lung']
[665, 'infiltrates', 'feature = infiltration']
[677, 'chest x-ray', 'feature = xray']
[703, 'clinical', 'connector']
[729, 'lower respiratory', 'modifier = lower respiratory']
[735, 'respiratory symptoms', 'feature = respiratory symptoms']
[798, 'documented', 'value = yes']
[817, '94% on room air', 'value = 95% | modifier = on room air']
[821, 'on room air', 'modifier = on room air']
[864, 'supplemental oxygen', 'feature = supplement oxygen']
[898, 'documented', 'value = yes']

[17, 'any other', 'value = yes']
[27, 'clinical trial', 'connector']
[67, 'for covid-19', 'feature = covid19']
[83, 'hydroxychloroquine', 'feature = hydroxychloroquine']
[121, 'hospitalization', 'feature = hospitalized']
[159, 'hospitalization', 'feature = hospitalized']
[175, 'for covid-19', 'feature = covid19']
[202, 'indication', 'connector']
[213, 'history of', 'value = yes | time = before']
[229, 'deficiency', 'feature = deficiency']
[318, 'prior to', 'time = before']
[335, 'screening', 'connector']
[368, 'known hypersensitivity to', 'feature = allergic']
[394, 'hydroxychloroquine or', 'feature = hydroxychloroquine']
[470, '48 hours', 'value = 48 hours']
[482, 'enrollment', 'compliant = yes']
[493, 'inability to', 'value = no']
[513, 'informed consent', 'compliant = yes']
[535, 'the patient', 'connector']
[539, 'patient', 'connector']

